title,company_name,company_location,posted_duration,jd,salary
Architectural Designer,Actalent,"Richmond, VA",2 hours ago,"Job Title: Architectural DesignerJob DescriptionSeeking a talented architectural designer with over 10 years of experience. They will work on sports projects in a dynamic and collaborative studio environment. This position requires a highly motivated, agile individual with strong technical and design capabilities. The candidate must have a solid knowledge of Revit, as there is a significant amount of senior staff available to provide training. The responsibilities include compiling data, performing design computations, and working with senior designers and project teams on conceptual designs, presentations, design development, and production to deliver projects on time and within budget. The candidate will apply creative design concepts, develop project proposals, understand industry-standard construction techniques, building regulations, and engineering principles, support design efforts and client presentations, and develop, modify, or review drawings to incorporate design intent. They will also produce graphic presentations, 3D renderings, and implementation documents, and collaborate on the development of design throughout appropriate project phases. The day-to-day tasks will vary depending on the project's stage, and candidates will have the opportunity to see through the entire project process.Hard SkillsKnowledge of RevitExperience in all phases of designCommercial experience (sports, education, hospitality, large-scale commercial)Ability to compile data and perform design computationsProficiency in producing graphic presentations and 3D renderingsSoft SkillsHighly motivatedAgileStrong technical and design capabilitiesAbility to collaborate with project teamsCreative design thinkingJob TypeThis is a Contract-to-Hire position with a duration of 12 Month(s).Work SiteThis is a hybrid position requiring some days on-site in Richmond, Virginia and some days remote.Work Environment3 days in office, 2 days remoteAbout ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
Junior Web/Interactive QA Tester,Phoenix Recruitment,"Philadelphia, PA",5 hours ago,"This is a remote position.Junior Web/Interactive QA Tester- US OnlyExperience:1+ yearsEmployment Type:Full-time, RemoteBase Salary:$61K-$71KPhoenix Recruitment offers a variety of recruiting services to assist both employers and employees. They are specialized in marketing open positions, recruiting, and helping employers to find qualified candidates across various industries. Phoenix Recruitment has expertise in streamlining the hiring process. They can help ensure that the process is efficient, well organized, and compliant with relevant regulations.ResponsibilitiesReview and analyze website specificationsTechnical requirementsContent needsVisual design briefsCollaborate with team members to develop effective strategies and test plansExecute test cases (manual or automated) and analyze resultsReport bugs and errors to development teamsHelp troubleshoot issuesConduct post-release/post-implementation testingWork with cross-functional teams to ensure quality throughout the software development lifecycleCreate and refine QA process for both clients and the internal teamDevelop QA protocols on a per project basis that align to the project and/launch needs.Research and adapt to new technologies to stay up-to-date with technology standardsReview, respond, and assign incoming help desk trouble ticketsOversee weekly automated website maintenance proceduresRequirements And SkillsExperience with agile projects and QA methodologyAbility to document and troubleshoot errorsKnowledge of testing software (e.g. Bugherd, Browserstack, Lambda, Email on Acid)Ability to learn new technologies and software quicklyExcellent communication skillsAttention to detailAnalytical mind and problem-solving aptitudeStrong organizational skillsAdvantagesAnnual Salary incrementHealth insurance401k matchingFlexible working hoursWhy Phoenix Recruitment LLC?Phoenix Recruitment often has an extensive network of employers and candidates. This network allows them to tap into a pool of qualified candidates and connect them with suitable job opportunities. They can also leverage their connections to help employers find the right talent efficiently. Outsourcing the recruitment process to a specialized agency can save you time and resources, avoid delays, reduce administrative burdens, and increase the chances of finding the right fit for your organization.","$61,000.00/yr - $71,000.00/yr"
People Operations Generalist (West Coast Preferred),"Docker, Inc",United States,5 hours ago,"Docker is a remote first company with employees across Europe, APAC and the Americas that simplifies the lives of developers who are making world-changing apps. We raised our Series C funding in March 2022 for $105M at a $2.1B valuation. We continued to see exponential revenue growth last year. Join us for a whale of a ride!West Coast Preferred***ResponsibilitiesOur People Operations Generalist is responsible for providing day to day support working with your People Partner and assigned client groups at Docker. Work in collaboration to enable the employee lifecycle for your assigned teams. The role is responsible for the following areas:Provide Client group support on HR administration, reporting, development and HR projectsRun employee onboarding and offboarding for your client groupsConduct employee orientation sessions, providing a positive first experience for new hiresPartner with People Partner on performance management cycles, including launching and closing each cycle and providing regular reporting during the program.Accurately enter new hire and termination data into HR systems and maintain employee records.Provide timely response to employee inquiries on a wide variety of topicsGenerate reports and metrics to your client groups and the team as a whole.Partner on company-wide projects in a variety of areas including, but not limited to diversity, development, engagement, and data analytics.Conduct regular audits to ensure compliance and data integrity.Ensure all HR processes are aligned with local employment laws, ensuring compliance standards are met for each jurisdiction. This includes creating and implementing policies, handbooks, and programs as well as supporting HR Audits.Implement HR policies and procedures consistently across the organization. Respond to questions from employees as they ariseEnsure accuracy and confidentiality of HR data.Be adaptable to change and demonstrate flexibility in handling various HR tasks. The People Team often needs to respond quickly to evolving situations and priorities.QualificationsBachelor's degree in Human Resources, Business Administration, or related field.3-5 years of experience in HR operations or a similar role.A commitment and understanding to protecting highly confidential employee data.Strong attention to detail and accuracy, ensuring high-quality data management.Experience working in a highly collaborative environment contributing to the success of the team as a whole.Excellent communication skills, both written and verbal.Enthusiasm for learning and adapting to an evolving environment.Self-motivated with the ability to be flexible to meet client group needs and project deadlines.Ability to analyze data, documents, reports, etc., with meticulous attention to detail.Ability to work through a problem with limited information and collaboratively drive towards solutions.Ability to multi-task in a fast-paced environment while delivering on commitmentsExperience interacting with employees at various levels of the organization while providing exceptional and professional customer service at all times.Experience with HR systems & programs including Microsoft Office, G-Suite, and HRIS software.We use Covey as part of our hiring and / or promotional process for jobs in NYC and certain features may qualify it as an AEDT. As part of the evaluation process we provide Covey with job requirements and candidate submitted applications. We began using Covey Scout for Inbound on April 13, 2024.Please see the independent bias audit report covering our use of Covey here.Perks (for Full Time Employees)Freedom & flexibility; fit your work around your lifeHome office setup; we want you comfortable while you work16 weeks of paid Parental leaveTechnology stipend equivalent to $100 net/monthPTO plan that encourages you to take time to do the things you enjoyQuarterly, company-wide hackathonsTraining stipend for conferences, courses and classesEquity; we are a growing start-up and want all employees to have a share in the success of the companyDocker SwagMedical benefits, retirement and holidays vary by countryDocker embraces diversity and equal opportunity. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our company will be.Due to the remote nature of this role, we are unable to provide visa sponsorship.",Not provided
Live Chat Support Agent - Remote,A Hiring Company,"Atlanta, GA",2 hours ago,"We are seeking a dedicated Live Chat Support representative to join our Customer Support team. The ideal candidate will be responsible for providing real-time assistance to our customers through live chat, resolving their queries and issues efficiently. If you have excellent communication skills and a passion for helping others, we want to hear from you!Responsibilities:Engage with customers in real-time through live chat to provide support and assistanceResolve customer queries, issues, and complaints in a timely and professional mannerCollaborate with other team members to ensure consistent and high-quality customer serviceDocument customer interactions and feedback for analysis and improvementStay up-to-date on product knowledge and company policies to provide accurate information to customersQualifications:1+ years of experience in customer support or a related fieldExcellent written and verbal communication skillsAbility to multitask and prioritize in a fast-paced environmentStrong problem-solving skills and attention to detailProficiency in using live chat software and CRM systemsIf you are passionate about providing exceptional customer service and thrive in a dynamic team environment, we encourage you to apply for the Live Chat Support role.",Not provided
Remote Concurrent Review Nurse,Actalent,"Raleigh, NC",2 hours ago,"Acute Care Utilization Management Nurse (Remote)Job DescriptionWe are seeking a highly skilled and motivated Acute Care Utilization Management Nurse to join our team. You will manage facilities for acute care inpatient stays, conduct initial reviews, concurrent stay reviews, and discharges, and collaborate extensively with your team. While the role requires independence, teamwork is crucial for success. Your ability to prioritize tasks effectively will be key.Your first day will involve a comprehensive 4-week training program focused on learning and development. You will work within TruCare and Interqual systems, with IT and compliance training provided. A preceptor will support you throughout your training to ensure you are on the right path.Hard SkillsAcute Care RN experience (ICU or Medical Surgical)Utilization ManagementKnowledge of Medicare and MedicaidSoftware: Interqual or TruCareSoft SkillsTeam collaborationTask prioritizationIndependent work with team supportJob TypeThis is a contract position with a duration of 28 Weekly.Work SiteThis is a fully remote position.Work Environment100% REMOTE, MONDAY - FRIDAY 8-5About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
Junior Virtual Assistant,Phoenix Recruitment,"Philadelphia, PA",5 hours ago,"This is a remote position.Junior Virtual Assistant- US OnlyExperience:1+ yearsEmployment Type:Full-time, RemoteBase Salary:$62K-$72KPhoenix Recruitment offers a variety of recruiting services to assist both employers and employees. They are specialized in marketing open positions, recruiting, and helping employers to find qualified candidates across various industries. Phoenix Recruitment has expertise in streamlining the hiring process. They can help ensure that the process is efficient, well organized, and compliant with relevant regulations.Responsibilities:Executive Assistant SupportRegular client interfacing (via phone/video conference)Email management (checking/organizing one or more inboxes for each client)Calendar management (coordinate internal and external meetings for multiple executives, manage hectic and complex calendars)Preparing materials such as presentations, expense reports, spreadsheets, documents, etc.Travel management (researching itineraries, making reservations, booking international and national flights, etc.)Assist with the development of communications and content (e.g. webinars, newsletters, emails, website content)Research tasksSupport implementing digital marketing plans (i.e. scheduling newsletters or social media posts, etc)Operations Support - creating/executing/maintaining standard operating procedures, workflows, and processesAdmin tasks associated with CRM softwareKey AttributesConfident, decisive, and experienced communicator with strong written and verbal skills that can use tact and diplomacy when interfacing with different personalitiesProfessional and friendly demeanorDetail-oriented and able to work efficiently with minimal errorsProactive and willing to suggest additional areas of responsibility that can be delegatedIndependently seek to identify and resolve problems by being a creative and proactive problem-solver - be solutions-focusedAbility to work in a fast-paced virtual environment, manage priorities/deadlines accordinglyTech-savvy, eager, and quick to learn new technologyCapable of performing duties with a high level of confidentiality and discretion while exhibiting integrity and trustworthiness with sensitive informationCope well with ambiguity and changes in direction as solutions are developedAmbitious, engaging, positive self-starter, flexible, patient, and open-minded with a great attitudeQualificationsPrevious experience managing multiple clients, accounts, and projects required2+ years of providing complex calendar management and email management requiredExperience with creating travel arrangements and compiling expense reportsAvailable to complete work, communicate via email, have Zoom meetings etc.Mac (preferred) or Personal Computer (including webcam) with the most recent version of MS Office installed (all programs; PowerPoint, Word, Excel, and Outlook)A fast and reliable internet connectionSmartphone with email capabilities and the ability to download various appsPreference to candidates proficient in common online programs/software used by small business owners.Technology confident - including but not limited to Microsoft Office, Google Suite, and common CRM and Project Management platformsBachelor’s degree preferredWhy Phoenix Recruitment LLC?Phoenix Recruitment often has an extensive network of employers and candidates. This network allows them to tap into a pool of qualified candidates and connect them with suitable job opportunities. They can also leverage their connections to help employers find the right talent efficiently. Outsourcing the recruitment process to a specialized agency can save you time and resources, avoid delays, reduce administrative burdens, and increase the chances of finding the right fit for your organization.","$62,000.00/yr - $72,000.00/yr"
Executive Recruiter,Hunt & Hired,"Texas, United States",15 hours ago,"Hunt & Hired is a leading executive search firm specializing in finding top-tier talent for our clients. As an Executive Recruiter, you will play a critical role in identifying, attracting, and securing exceptional candidates for executive-level positions across a wide range of industries.Our ideal candidate is an experienced and highly motivated professional with a proven track record in executive recruitment. You should possess outstanding interpersonal skills, a keen eye for talent, and the ability to build strong relationships with both clients and candidates. We are looking for a hunter who is motivated by money!ResponsibilitiesConduct extensive research to identify potential candidates for executive-level positionsUtilize various sourcing techniques, such as networking, online platforms, and industry events, to attract top talentScreen and interview candidates to assess their qualifications, experience, and fit for specific rolesBuild and maintain a strong network of executive-level professionalsCollaborate with clients to understand their hiring needs and provide strategic insights on market trends and talent availabilityPresent qualified candidates to clients and facilitate the interview and selection processNegotiate compensation packages and assist in the offer and onboarding process for successful candidatesStay updated on industry best practices, recruitment trends, and advancements in executive search technologyRequirementsBachelor's degree in Human Resources, Business Administration, or a related fieldMinimum of 5 years of experience in executive recruitment or a similar roleProven track record in identifying and attracting high-caliber executive-level candidatesExcellent verbal and written communication skillsStrong networking and relationship-building abilitiesProficiency in using various sourcing tools and platformsKnowledge of employment laws and regulationsAbility to handle confidential information in a professional mannerExceptional organizational and time management skillsResults-oriented mindset with a proven ability to meet or exceed recruitment targetsBenefitsNO CAP Commision PlanHealth Care Plan (Medical, Dental & Vision)Training & DevelopmentWork From Home",Not provided
Executive Recruiter,Hunt & Hired,"Florida, United States",15 hours ago,"Hunt & Hired is a leading executive search firm specializing in finding top-tier talent for our clients. As an Executive Recruiter, you will play a critical role in identifying, attracting, and securing exceptional candidates for executive-level positions across a wide range of industries.Our ideal candidate is an experienced and highly motivated professional with a proven track record in executive recruitment. You should possess outstanding interpersonal skills, a keen eye for talent, and the ability to build strong relationships with both clients and candidates. We are looking for a hunter who is motivated by money!ResponsibilitiesConduct extensive research to identify potential candidates for executive-level positionsUtilize various sourcing techniques, such as networking, online platforms, and industry events, to attract top talentScreen and interview candidates to assess their qualifications, experience, and fit for specific rolesBuild and maintain a strong network of executive-level professionalsCollaborate with clients to understand their hiring needs and provide strategic insights on market trends and talent availabilityPresent qualified candidates to clients and facilitate the interview and selection processNegotiate compensation packages and assist in the offer and onboarding process for successful candidatesStay updated on industry best practices, recruitment trends, and advancements in executive search technologyRequirementsBachelor's degree in Human Resources, Business Administration, or a related fieldMinimum of 5 years of experience in executive recruitment or a similar roleProven track record in identifying and attracting high-caliber executive-level candidatesExcellent verbal and written communication skillsStrong networking and relationship-building abilitiesProficiency in using various sourcing tools and platformsKnowledge of employment laws and regulationsAbility to handle confidential information in a professional mannerExceptional organizational and time management skillsResults-oriented mindset with a proven ability to meet or exceed recruitment targetsBenefitsNO CAP Commision PlanHealth Care Plan (Medical, Dental & Vision)Training & DevelopmentWork From Home",Not provided
Entry-Level Data Entry Clerk Admin (Fully Remote),AllStaff Staffing & Recruiting,"Virginia, United States",8 hours ago,"Apply here Directly: https://bit.ly/3vbQR00Candidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/3vbQR00QualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/3vbQR00RequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply Here Directlyhttps://bit.ly/3vbQR00BenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/3vbQR00null",$30.00/hr - $40.00/hr
Remote Drafter,Actalent,"Syracuse, NY",2 hours ago,"Exciting opportunities within the Aerospace and Defense industry are currently available!Actalent is looking for a full-time Manufacturing Engineer to support our client, a leading DoD organization, onsite in Syracuse, NY.Responsibilities:Able to provide schematic capture part placement routing and documentation support for 4-18 layer designs.Ability to work closely with the engineering team to make changes as the designs evolve and then create documentation for the Printed Wiring Assembly and Printed Wring Board in Blueprint or AutoCAD tools.Utilizes computer-aided design equipment and/or manual tools.Completes layout drawings prepared by others in accordance with standard engineering drafting practices or may develop complete major layouts of engineering drawings.Within parameters determines scaling required inserts necessary reference planes centering and dimension lines hidden line interpolations and sectioning prepares specifications for parts assemblies and installations prepares complete production detail drawings contributes design modifications to improve quality of product or facilitate manufacturing operationsQualifications:6+ Years of design/drafting experienceProven ability to work in a remote capacityExperience with Siemens XpeditionExperience with Zuken CR8000Experience with Altium/CadencePlease submit an up to date resume for consideration or to learn more!About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
